ID;Recipe;Page;Season;Favorite;Cooked;Book;Kitchen;Diet;Cover;Keywords;score
1;Erdbeerkonfitüre;20; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;einm;asdf;0
2;Erdbeer Rhabarber-Konfitüre;23; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
3;Aprikosen Aprikosenkonfitüre;24; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
4;Gelierzucker Aprikosenkonfitüre;24; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
5;Konfitüre/Marmelade Aprikosenkonfitüre;24; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
6;Kaya - Kokoscreme aus Malaysia;26; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
7;Erdnussbutter;28; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
8;Kokos-Nuss-Bällchen (Tipp);30; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
9;Schoko-Nuss-Energy-Balls;30; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
10;Sesam-Nuss-Bällchen (Tipp);30; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
11;Dulce de Leche;32; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
12;Milch Dulce de Leche;32; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
13;Blutorangenmarmelade mit Aperol;34; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
14;Apple Butter;36; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
15;Pumpkin Butter;37; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
16;Englische Orangenmarmelade;38; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
17;Löwenzahnhonig;40; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
18;Quick Jam;42; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
19;Pineapple Jam;44; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
20;Lemon Curd;46; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
21;Orange Curd;47; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
22;Hollerröster;48; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
23;Aprikosenröster (Variante);49; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
24;Zwetschgenröster;49; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
25;Kaiserschmarrn mit Zwetschgenröster;50; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
26;Blaukraut (Tipp);54; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
27;Fermentierter Rotkohl (Grund-rezept);54; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
28;Fermentiertes Curtido;57; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
29;Sauerkraut (Tipp);57; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
30;Einfaches Kimchi;58; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;Ursula Schersch - Die Welt Im Einmach Glas.jpg;;0
31;Klassische Salzgurken;60; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
32;Bread and Butter Pickles;62; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
33;Eingelegte Zucchini;64; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
34;Banh Mi Pickles;65; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
35;Banh Mi Sandwich;66; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
36;Ajvar;68; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
37;Pindjur;70; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
38;Kirsch-Chutney;72; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
39;Red Onion Pickles;73; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
40;Tacos mit Red Onion Pickles;74; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
41;Fermentierte Salsa;76; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
42;Watermelon Rind Pickles;78; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;150
43;Tomatensugo mit frischen Kräutern (Grundrezept);80; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
44;Ratatouille;83; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
45;Halbgetrocknete Tomaten;84; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
46;Bärlauchkapern;85; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
47;Marokkanische Salzzitronen;86; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
48;Dosa-Pfannkuchenteig;88; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
49;Dosas mit Kartoffelfüllung;90; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
50;Tomatenketchup;94; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
51;BBQ-Sauce;96; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
52;Ketjap Manis;98; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
53;Basilikum-Walnuss-Pesto;99; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
54;Zhoug;100; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
55;Mojo Verde;101; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
56;Brühpulver;102; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
57;Garam Masala;104; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
58;Pulled Pork Rub;105; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
59;Pulled Pork Buns mit Rotkohl-Slaw;106; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
60;Burger Dry Rub;108; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
61;Zatar-Gewürzmischung;109; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
62;Dukkah;110; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
63;Kräutermischung aus getrockneten Kräutern;112; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
64;Schoko Energy-Balls;114; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
65;Kräuterteemischung;114; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
66;Chai - Gewürzteemischung;115; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
67;Apple Cider Syrup;116; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
68;Joghurt (Grundrezept);120; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
69;Sojaghurt;123; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
70;Labneh;124; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
71;Ricotta;125; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
72;Paneer - indischer Frischkäse;126; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
73;Paneer Tikka Masala;128; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
74;Mayonnaise;130; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
75;Rote-Bete-Eier;131; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
76;Gebeizte Eigelbe;132; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
77;Salz Gebeizte Eigelbe;132; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
78;Chinesische Tee-Eier;134; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
79;Sauerteig (Grundrezept);138; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
80;Sauerteig-Focaccia;141; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
81;Sauerteig-Topfbrot;142; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
82;Sonnenblumenbrot;144; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
83;Vollkornmehl Sandwichbrot;146; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
84;Simit - türkische Bagels;147; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
85;Hokkaido Milchbrot;148; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
86;Brioche-Buns;150; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
87;Bialys mit Zwiebel und Feta;152; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
88;Sauerteig-Kräuter-Cracker;154; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
89;Everyday Granola;155; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
90;Popovers;156; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
91;Holunderblütensirup;160; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
92;Blüten Fliederblüten;162; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
93;Fliedersirup;162; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
94;Himbeer-Shrub;164; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
95;Rhabarber-Wodka;165; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
96;Nussschnaps aus grünen Nüssen;166; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
97;Angesetzter Gin;168; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
98;Limoncello;169; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
99;Limoncello-Kuchen;170; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
100;Kombucha;172; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
101;Aromatisierter Kombucha;175; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
102;Wasserkefir;176; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
103;Ginger Bug;178; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
104;Ginger Beer;180; ; ; ;Ursula Schersch - Die Welt Im Einmach Glas; ; ;;;0
105;Anisjoghurt;52; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
106;Aprikosenpofesen;45; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
107;Artischocken-Ricotta-Crostini;31; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
108;Artischockensalat mit Korinthen und Zitronenvinaigrette;90; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
109;Aubergine, geschmorte;126; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
110;Auberginen Imam Bayildi;144; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
111;Auberginen, gefüllte, mit Feta und Gari-Ingwer;147; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
112;Auberginen-Miso-Creme;48; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
113;Auberginen-Tomatencreme;48; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
114;Avocado-Cacik;61; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
115;Avocado-Papayasalat mit Minze;85; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
116;Avocadosalat mit Kirschtomaten und Rucola;85; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;Salat, Avocado;0
117;Baklava;200; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
118;Bärlauch-Cacik;61; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
119;Bazlama;13; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
120;Belugalinsen-Salat mit gebratenen Austernpilzen und Granatapfelkernen;86; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
121;Blumenkohl, Dreierlei vom;148; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
122;Blumenkohlsuppe mit Safran;110; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
123;Blumenkohl-Wassermelonen-Salat mit Rauchmandel;76; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
124;Brokkoli, wilder, mit Wasabi-Kartoffelpüree und Limette;176; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
125;Brombeer-Rahmeis mit Espressoschaum 221 Bruschetta mit Oliventapenade und konfierten Tomaten;138; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
126;Bulgur-Bowl, orientalische;157; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
127;Buttermilch-Mousse mit Holunderblüte und gebackenem Pfirsich;214; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
128;Erbsen-Hüttenkäsepuffer;193; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
129;Erbsensamosa;34; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
130;Favabohnen mit Tomaten und Vadouvan;134; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
131;Feige, gebackene, im Kataifi-Teig mit Haselnuss- parfait;204; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
132;Fenchel-Orangensalat mit gegrillter Wassermelone;82; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
133;Focaccia;14; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
134;Frühlingszwiebeln, gebratene;126; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
135;Gavurdagi Salatasi;81; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
136;Gemüse in der Salzkruste;152; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
137;Gemüse, gebratenes levantinisches;125; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
138;Gewürz-Bulgur mit Gemüse;180; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
139;Gözleme;24; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
140;Grüner Spargel mit gebackener Mango und Koriander-Aioli;130; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
141;Gurken-Avocado-Suppe, kalte, mit Ingwer und Wasabi;100; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
142;Haselnuss-Belugalinsen;137; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
143;Hokkaidokürbis, marinierter;161; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
144;Honigmelonen-Feta-Salat;72; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
145;Hummus mit Kichererbsen;51; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
146;Joghurtcreme, türkische, mit karamellisierten Pistazien und Erdbeeren;213; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
147;Curry-Mango-Creme;58; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
148;Eichblattsalat mit Zucchini und Pimentos de Padrón;95; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
149;Eier, pochierte, mit Romanasalat und Sauce Béarnaise;96; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
150;Karottenstampf mit Ducca und Minze;187; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
151;Kartoffelnockerin mit Basilikumpesto, Kirschtomaten und Pecorino;168; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
152;Kartoffelnudeln mit Paprikacreme, Honigtomaten und Rucola;171; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
153;Kichererbsen-Kokossuppe mit gerösteten Kichererbsen;117; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
154;Koriander-Aioli;62; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
155;Korinthenjoghurt;62; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
156;Kräutersalat;68; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
157;Kräuterseitlinge, gegrillte, und Okraschoten mit Tomatenvinaigrette;89; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
158;Künefe mit glasierten Aprikosen;203; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
159;Kürbis-Maissuppe mit Gari-Ingwer;118; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;Suppe;0
160;Lahmacun, vegetarische;42; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
161;Lemon-Tartelettes;207; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
162;Limettencreme;58; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
163;Linsen-Kichererbsen-Ragout;138; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
164;Linsensamosa;37; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
165;Mandel-Zimtreis, würziger;180; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
166;Mango Summer Rolls;41; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
167;Muskatkürbis mit Gewürztomaten-Sugo und Sauerrahm;172; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
168;Okraschoten, gebackene;122; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
169;Oliventapenade;55; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
170;Orangen-Dattelsalat;71; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
171;Paprika-Salsa;65; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
172;Paprikasüppchen, gelbes, mit Kreuzkümmel und Petersilie;107; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
173;Parmesan-Pistazienchips;21; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
174;Passionsfruchtcreme, karamellisierte, mit marinierter Mango;217; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
175;Pasta-Fleckerl mit Okraschoten, Lauch und Kirschtomaten;197; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
176;Pesto-Fetacreme;51; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
177;Pfifferlinge, gebratene, auf Kartoffelpüree;167; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
178;Pide;10; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
179;Pogaca mit Schafskäse-Petersilienfüllung;27; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
180;Prinzessbohnensalat mit Ratatouille-Vinaigrette;75; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
181;Quarkeis mit Rhabarber-Himbeer-Kompott;218; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
182;Ricotta-Limetten-Teigtaschen;194; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
183;Rote Bete, geschmorte, mit Burrata;143; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
184;Rote-Bete-Joghurt mit Mandeln;52; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
185;Rote-Bete-Suppe mit Tonkabohne und Himbeeressig;103; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
186;Rucolasalat mit Parmesan, Feigen und Granatapfeldressing;68; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
187;Saftiger Schokoladen-Macadamia-Brownie;208; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
188;Sellerie in Variationen;151; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
189;Sellerie-Dattelsalat;71; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
190;Selleriepüree;184; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
191;Sesamcreme;52; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
192;Simit (Sesamringe);18; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
193;Spargel, grüner, gebratener;138; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
194;Spargel, grüner, mit gebackener Mango und Koriander-Aioli;130; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
195;Spargel, weißer, gebratener;133; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
196;Spinat-Sesamsalat;68; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
197;Spinat-Tomaten-Börek;28; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
198;Spitzkrautsalat mit Cranberrys. Minze und Ras el-Hanout;76; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
199;Spitzpaprika, gegrillte;133; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
200;Süßkartoffel, gebackene;183; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
201;Süßkartoffelsuppe mit Zitronengras und Ingwer;113; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
202;Tomaten, konfierte;122; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
203;Tomaten-Pfirsichsuppe mit karamellisiertem Fenchel;104; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
204;Tomaten-Pinienkernpesto 57| Tomaten-Risoni-Risotto;188; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
205;Topinamburpüree;184; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
206;Topinambursuppe mit Sherry und Schnittlauch;114; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
207;Trevisano, geschmorter;161; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
208;Walnuss-Austernpilz-Tapenade;55; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
209;Weiße Bohnen, gebratene, mit Ziegenfrischkase, Korinthen und Petersilien-Minzöl;129; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
210;Wurzelgemüse süß-sauer;175; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
211;Yufka;17; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
212;Ziegenkäse-Feigen-Crostini;31; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
213;Ziegenkäse-Kartoffelpüree mit Avocado;187; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
214;Zucchini-Karottenpuffer;193; ; ; ;Ali Güngörmüş - Meze Vegetarisch; ; ;;;0
215;Copiens Dattelcreme;97; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
216;Salzreduzierte Gemüsebrühepaste;99; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
217;Zen-Oats mit pochierter Birne und Mandelcreme;102; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
218;Kürbiskern-Oats mit Zitrussalat und Bratapfel;105; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
219;Vollkorn-Pancakes mit Champignonrahm und Apfel-Salsa;106; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
220;Surfer's Protein Bowl;108; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
221;Overnight Oats Bircher-Style mit Pfirsichcreme;111; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
222;Heidelbeercreme-Joghurt mit Super-Miso-Granola;113; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
223;Deftiger Quinoa-Porridge mit Bohnen und Miso;114; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
224;Green Power Bowl;114; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
225;Power Bowl, green;114; ; ; ;Niko Rittenau, Sebastian Copien - Vegan-Klischee ade! DAS KOCHBUCH; ; Vegan;;;0
